"","UBERON.artery.wall","UBERON.feces","UBERON.mouth","GroupContrib","Sort","Importance","Rank1","Phylum","Class","Order","Family","Genus","Species"
"381666",-0.0576533617280518,-0.218520937239168,-0.0237736949434104,"UBERON:mouth",137,0.00652059985821031,"Bacteria","Cyanobacteria","4C0d-2","YS2","NA","NA","NA"
"340761",-0.417130906078866,0.504799657478604,-0.392991536248483,"UBERON:feces",138,0.00592507194961714,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","NA","NA"
"1667532",-0.0403669703616878,-0.19125806745329,-0.00695430006252035,"UBERON:mouth",139,0.0058516033779529,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","NA","NA"
"4480861",-0.039144642998659,-0.194855650151226,-0.00364218984019941,"UBERON:mouth",140,0.00573579932132313,"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium","NA"
"182799",-0.474270330160518,0.661608556538482,-0.45498203950027,"UBERON:feces",141,0.00573350319328967,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","NA"
"111544",-0.0568418461720038,-0.219033457565825,-0.0226833295671022,"UBERON:mouth",142,0.00571904595481506,"Bacteria","AC1","SHA-114","NA","NA","NA","NA"
"331062",-0.0559932204420776,-0.219568502803079,-0.0215432945139566,"UBERON:mouth",143,0.0048799108704767,"Bacteria","Firmicutes","Clostridia","Clostridiales","NA","NA","NA"
"129798",-0.0559932204420776,-0.219568502803079,-0.0215432945139566,"UBERON:mouth",144,0.0048799108704767,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","iners"
"968464",-0.0427420914522764,-0.190555647414705,-0.0100108985170038,"UBERON:mouth",145,0.00373144522045123,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","C111","NA","NA"
"175706",-0.20870738859553,-0.342493811021191,-0.250095317429405,"UBERON:artery wall",146,0.00208616353975266,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7","NA","NA"
"174960",-0.265996228576074,-0.36733536689194,-0.237605069476225,"UBERON:mouth",147,0.00204303291815985,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","NA","NA"
"170405",-0.249061770310736,-0.383653680486661,-0.292474533692473,"UBERON:artery wall",148,0.00192382057908378,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA"
"843442",-0.214455707493635,-0.32453987410197,-0.189030809161134,"UBERON:mouth",149,0.00113734004155893,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","NA","NA"
"252822",-0.052163079983778,-0.221971759097295,-0.0164003636798419,"UBERON:mouth",150,0.00108083760924739,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","NA"
